epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2131,1.08451,1.49085,1.07452,0.997,0.99762,0.99476,0.70636,1.00973,0.63083,1.01699,0.00332,0.00332,0.00332
2,124.627,1.08381,0.69709,1.04663,0.99801,0.999,0.995,0.71932,0.98481,0.46493,1.01484,0.00658747,0.00658747,0.00658747
3,185.009,1.08985,0.60924,1.07033,0.99271,0.998,0.99462,0.70051,1.03105,0.50409,1.05289,0.00978893,0.00978893,0.00978893
4,245.597,1.08852,0.57211,1.08637,0.994,0.997,0.9945,0.70939,1.00856,0.48195,1.04222,0.009703,0.009703,0.009703
5,306.634,1.06431,0.52934,1.07575,0.9959,0.986,0.99476,0.72233,1.01525,0.46506,1.04546,0.009604,0.009604,0.009604
6,367.799,1.04638,0.50625,1.07129,1,0.99991,0.995,0.74396,0.97633,0.41175,1.03297,0.009505,0.009505,0.009505
7,429.325,1.0339,0.4923,1.06162,0.99106,0.99802,0.99486,0.72818,0.97195,0.42267,1.01548,0.009406,0.009406,0.009406
8,491.955,1.01934,0.47576,1.05751,0.99735,0.997,0.995,0.74064,0.97338,0.40341,1.01824,0.009307,0.009307,0.009307
9,560.318,1.01996,0.4679,1.0546,0.99975,1,0.995,0.75598,0.95253,0.38345,1.0138,0.009208,0.009208,0.009208
10,625.724,1.01007,0.46466,1.05593,0.99978,0.999,0.995,0.74584,0.97684,0.38511,1.0131,0.009109,0.009109,0.009109
11,690.211,1.00446,0.45547,1.05042,0.99763,0.998,0.995,0.74837,0.94905,0.39269,1.02494,0.00901,0.00901,0.00901
12,755.496,1.00598,0.44789,1.05392,0.99568,1,0.995,0.75082,0.94633,0.37486,1.01373,0.008911,0.008911,0.008911
13,820.192,0.99555,0.44557,1.05177,0.99457,0.999,0.99492,0.74816,0.94963,0.37465,1.01424,0.008812,0.008812,0.008812
14,884.961,0.9935,0.44166,1.04574,1,0.99694,0.995,0.74133,0.98618,0.38511,1.01549,0.008713,0.008713,0.008713
15,949.96,0.9884,0.43276,1.05084,0.99883,1,0.995,0.76229,0.94476,0.36111,1.00944,0.008614,0.008614,0.008614
16,1015.19,0.97957,0.42745,1.04049,0.99955,0.998,0.995,0.76211,0.94221,0.35569,1.01492,0.008515,0.008515,0.008515
17,1080.42,0.98208,0.42335,1.04158,0.99769,0.999,0.99499,0.76062,0.94845,0.35638,1.00899,0.008416,0.008416,0.008416
18,1145.31,0.9782,0.42471,1.04084,0.9977,1,0.99463,0.76053,0.92179,0.35723,1.00033,0.008317,0.008317,0.008317
19,1210.17,0.97431,0.41952,1.04038,0.99982,0.998,0.995,0.76829,0.92397,0.3471,1.00595,0.008218,0.008218,0.008218
20,1285.97,0.97504,0.42046,1.04383,0.99756,0.998,0.99496,0.76692,0.91967,0.35198,1.01116,0.008119,0.008119,0.008119
21,1362.3,0.97384,0.41487,1.03934,0.99685,1,0.99485,0.75899,0.93529,0.35235,1.01413,0.00802,0.00802,0.00802
22,1435.12,0.96519,0.41133,1.04465,0.9992,1,0.995,0.76216,0.92816,0.34981,1.00243,0.007921,0.007921,0.007921
23,1501.19,0.9691,0.41111,1.03975,0.99984,0.999,0.995,0.76483,0.93767,0.33978,1.00432,0.007822,0.007822,0.007822
24,1576.96,0.96561,0.40843,1.03717,0.99892,1,0.995,0.76945,0.92425,0.33204,1.00239,0.007723,0.007723,0.007723
25,1651.86,0.95801,0.40338,1.03599,0.99992,1,0.995,0.76539,0.9407,0.33727,1.00276,0.007624,0.007624,0.007624
26,1725.43,0.95326,0.3995,1.0333,0.99891,1,0.99483,0.76755,0.92747,0.3294,0.99734,0.007525,0.007525,0.007525
27,1797.74,0.95699,0.39936,1.03632,0.999,0.99998,0.995,0.7708,0.91807,0.32803,0.99637,0.007426,0.007426,0.007426
28,1870.29,0.95772,0.39561,1.03449,0.99873,1,0.99485,0.77063,0.9207,0.32369,1.00047,0.007327,0.007327,0.007327
29,1943.59,0.95791,0.39706,1.03878,0.9989,1,0.99497,0.77378,0.91186,0.31533,0.98982,0.007228,0.007228,0.007228
30,2016.26,0.95677,0.39309,1.04224,1,0.99991,0.995,0.77444,0.9154,0.32068,1.01445,0.007129,0.007129,0.007129
31,2085.16,0.9507,0.39259,1.03857,0.99993,1,0.995,0.77189,0.90868,0.31101,0.98762,0.00703,0.00703,0.00703
32,2150.18,0.9533,0.3898,1.03548,1,0.99988,0.995,0.77213,0.90758,0.31603,0.99686,0.006931,0.006931,0.006931
33,2215.5,0.94415,0.38567,1.03227,0.99964,1,0.995,0.77439,0.90885,0.3069,0.98245,0.006832,0.006832,0.006832
34,2280.91,0.94611,0.38619,1.03017,0.99993,1,0.995,0.77086,0.9137,0.31254,0.98658,0.006733,0.006733,0.006733
35,2346.82,0.94753,0.38852,1.0309,0.99994,1,0.995,0.78029,0.91437,0.30741,0.98896,0.006634,0.006634,0.006634
36,2412.41,0.93839,0.3811,1.02855,0.99994,1,0.995,0.77543,0.90823,0.30526,0.98623,0.006535,0.006535,0.006535
37,2477.67,0.94421,0.38241,1.03239,0.999,1,0.995,0.77574,0.90299,0.31005,0.98428,0.006436,0.006436,0.006436
38,2542.92,0.94246,0.37865,1.02947,0.99935,1,0.995,0.77499,0.90731,0.30502,0.98732,0.006337,0.006337,0.006337
